LINHA;STATUS;NÚMERO PEDIDO;PEDIDO VINCULADO;ORIGEM;LOGIN OPERADORA;CLIENTE;CNPJ;Cidade;Estado;DDD;USUÁRIO PROPRIETÁRIO;USUÁRIO TAGS;USUÁRIO ADM;CONSULTOR ;EQUIPE;ETAPA;DATA CADASTRO;DATA ATUALIZAÇÃO;SOLICITAÇÃO;NEGOCIAÇÃO;NOTAS FISCAIS;REVISÃO;ITEM;TELEFONE;ETAPA ITEM;PORTABILIDADE;PRODUTO;Valor;Quantidade;Data Referencia;Origem;Data InstalaÃ§Ã£o;PerÃ­odo;Cidade InstalaÃ§Ã£o;Estado InstalaÃ§Ã£o;Rpon;InstÃ¢ncia;Tags
Móvel - Migração;Executados;1-872324922668;;;;CENTRO DE FORMACAO DE CONDUTORES LIDER LTDA;2,36E+13;GOIANIA;GO;62;UsuÃ¡rio Master;#master;;LUCAS;;Executado parcialmente (VIVO-CORP);30/01/2024;30/01/2024 13:40;MIGRACAO PADRAO;BASE;OV: /NF:;;;62999529260;Concluído;;SMCRPMASS1GB;29,99;1;27/01/2024;VIVO-CORP;;;;;;;
Móvel - Migração;Executados;1-872324922668;;;;CENTRO DE FORMACAO DE CONDUTORES LIDER LTDA;2,36E+13;GOIANIA;GO;62;UsuÃ¡rio Master;#master;;LUCAS;;Executado parcialmente (VIVO-CORP);30/01/2024;30/01/2024 13:40;MIGRACAO PADRAO;BASE;OV: /NF:;;;62996794260;Concluído;;SMCRPMASS100GB;115,49;1;27/01/2024;VIVO-CORP;;;;;;;
Móvel - Migração;Executados;1-872324922668;;;;CENTRO DE FORMACAO DE CONDUTORES LIDER LTDA;2,36E+13;GOIANIA;GO;62;UsuÃ¡rio Master;#master;;LUCAS;;Executado parcialmente (VIVO-CORP);30/01/2024;30/01/2024 13:40;MIGRACAO PADRAO;BASE;OV: /NF:;;;62999326804;Concluído;;SMCRPMASS3GB;34,99;1;27/01/2024;VIVO-CORP;;;;;;;
Movel Altas - Portabilidade;Executados;1-873251146455;;42947690;DFP4059-001;SERGIO FERREIRA DE ARAUJO SOCIEDADE INDIVIDUAL DE ADVOCACIA;4,06E+13;BRASILIA;DF;61;CAIQUE RIBEIRO GUEDES;;;CAIQUE;;Executado parcialmente (VIVO-CORP);30/01/2024;30/01/2024 13:42;PORTADO;NOVO;OV: /NF:;;;61999358352;Concluído;29/01/2024;SMCRPMASS6GB;41,99;1;29/01/2024;VIVO-CORP;;;;;;;#MOVEL,#SOHO
Móvel Altas - Totais;Executados;1-873251146455;;42947690;DFP4059-001;SERGIO FERREIRA DE ARAUJO SOCIEDADE INDIVIDUAL DE ADVOCACIA;4,06E+13;BRASILIA;DF;61;CAIQUE RIBEIRO GUEDES;;;CAIQUE;;Executado parcialmente (VIVO-CORP);30/01/2024;30/01/2024 13:42;PORTADO;NOVO;OV: /NF:;;;61999358352;Concluído;29/01/2024;SMCRPMASS6GB;41,99;1;29/01/2024;VIVO-CORP;;;;;;;#MOVEL,#SOHO
Movel Altas - Novo;Executados;1-873251146455;;42947690;DFP4059-001;SERGIO FERREIRA DE ARAUJO SOCIEDADE INDIVIDUAL DE ADVOCACIA;4,06E+13;BRASILIA;DF;61;CAIQUE RIBEIRO GUEDES;;;CAIQUE;;Executado parcialmente (VIVO-CORP);30/01/2024;30/01/2024 13:42;NOVO;NOVO;OV: /NF:;;;61998487443;Concluído;;SMCRPMASS6GB;41,99;1;29/01/2024;VIVO-CORP;;;;;;;#MOVEL,#SOHO
Móvel Altas - Totais;Executados;1-873251146455;;42947690;DFP4059-001;SERGIO FERREIRA DE ARAUJO SOCIEDADE INDIVIDUAL DE ADVOCACIA;4,06E+13;BRASILIA;DF;61;CAIQUE RIBEIRO GUEDES;;;CAIQUE;;Executado parcialmente (VIVO-CORP);30/01/2024;30/01/2024 13:42;NOVO;NOVO;OV: /NF:;;;61998487443;Concluído;;SMCRPMASS6GB;41,99;1;29/01/2024;VIVO-CORP;;;;;;;#MOVEL,#SOHO
Movel Altas - Novo;Executados;1-873251146455;;42947690;DFP4059-001;SERGIO FERREIRA DE ARAUJO SOCIEDADE INDIVIDUAL DE ADVOCACIA;4,06E+13;BRASILIA;DF;61;CAIQUE RIBEIRO GUEDES;;;CAIQUE;;Executado parcialmente (VIVO-CORP);30/01/2024;30/01/2024 13:42;NOVO;NOVO;OV: /NF:;;;61998484896;Concluído;;SMCRPMASS6GB;41,99;1;29/01/2024;VIVO-CORP;;;;;;;#MOVEL,#SOHO
Móvel Altas - Totais;Executados;1-873251146455;;42947690;DFP4059-001;SERGIO FERREIRA DE ARAUJO SOCIEDADE INDIVIDUAL DE ADVOCACIA;4,06E+13;BRASILIA;DF;61;CAIQUE RIBEIRO GUEDES;;;CAIQUE;;Executado parcialmente (VIVO-CORP);30/01/2024;30/01/2024 13:42;NOVO;NOVO;OV: /NF:;;;61998484896;Concluído;;SMCRPMASS6GB;41,99;1;29/01/2024;VIVO-CORP;;;;;;;#MOVEL,#SOHO
Movel Altas - Portabilidade;Executados;1-873251146455;;42947690;DFP4059-001;SERGIO FERREIRA DE ARAUJO SOCIEDADE INDIVIDUAL DE ADVOCACIA;4,06E+13;BRASILIA;DF;61;CAIQUE RIBEIRO GUEDES;;;CAIQUE;;Executado parcialmente (VIVO-CORP);30/01/2024;30/01/2024 13:42;PORTADO;NOVO;OV: /NF:;;;61999359984;Concluído;29/01/2024;SMCRPMASS6GB;41,99;1;29/01/2024;VIVO-CORP;;;;;;;#MOVEL,#SOHO
